ID,Name,Service Type,Skills,Location,Rating,Days Available,Contact
1,Maya Repairs,Plumber,"Toilet Repair, Pipe Installation",Patan,4.4,Tue–Sat,9801000001
2,Sewa Sansar,Plumber,"Tap Fix, Sink Fix",Kalanki,4.9,Wed–Sun,9801000002
3,Krishna Fix,Electrician,"Light Installation, Socket Repair",Kalanki,4.1,Sat–Wed,9801000003
4,Sewa Enterprises,Electrician,"Wiring, Light Installation",Patan,3.6,Mon–Fri,9801000004
5,local Fix,Painter,"Ceiling Paint, Wall Painting",Koteshwor,4.4,Tue–Sat,9801000005
6,KTM Repair,Painter,"Outdoor Paint, Ceiling Paint",Thamel,4.3,Sat–Wed,9801000006
7,TechMend,Painter,"Ceiling Paint, Outdoor Paint",Koteshwor,3.5,Thu–Mon,9801000007
8,SkillHub,Electrician,"Socket Repair, Light Installation",Thamel,3.7,Thu–Mon,9801000008
9,kamala Repair,Painter,"Ceiling Paint, Outdoor Paint",Thamel,4.4,Wed–Sun,9801000009
10,homehelp,Electrician,"Socket Repair, Fuse Repair",Kirtipur,4,Mon–Fri,9801000010
11,smart hand,AC Mechanic,"Compressor Fix, Cooling Issue Fix",Koteshwor,4.9,Thu–Mon,9801000011
12,Everest Services,Plumber,"Tap Fix, Sink Fix",Maharajgunj,4.7,Tue–Sat,9801000012
13,Home Relaiable,Carpenter,"Furniture Repair, Window Fix",Patan,4.7,Mon–Fri,9801000013
14,Silk Sewa,AC Mechanic,"Cooling Issue Fix, Compressor Fix",Maharajgunj,3.7,Sat–Wed,9801000014
15,Sherstha fix,Plumber,"Pipe Installation, Sink Fix",Maharajgunj,3.7,Sat–Wed,9801000015
16,Gyam Fixer,Painter,"Texture Coating, Ceiling Paint",Bhaktapur,4.1,Thu–Mon,9801000016
17,Doti Dynamics,Plumber,"Toilet Repair, Sink Fix",Chabahil,4.5,Sat–Wed,9801000017
18,Achham Assistance,Plumber,"Toilet Repair, Tap Fix",Chabahil,4.3,Tue–Sat,9801000018
19,Bajura Brigade,AC Mechanic,"AC Installation, Compressor Fix",Patan,4.9,Sat–Wed,9801000019
20,Bajhang Boost,Electrician,"Light Installation, Fuse Repair",Maharajgunj,4.1,Wed–Sun,9801000020
21,Rukum East Remedies,Plumber,"Tap Fix, Toilet Repair",Maharajgunj,4.1,Sat–Wed,9801000021
22,Surkhet Specialist,Plumber,"Pipe Installation, Tap Fix",Koteshwor,3.8,Sat–Wed,9801000022
23,Jajarkot Jobs,Carpenter,"Door Installation, Window Fix",Bhaktapur,4.7,Thu–Mon,9801000023
24,Humla Helpers,Electrician,"Wiring, Socket Repair",Bhaktapur,3.6,Thu–Mon,9801000024
25,Sunsari Services,Electrician,"Wiring, Socket Repair",Maharajgunj,3.6,Tue–Sat,9801000025
26,Manakamana Tech,Painter,"Outdoor Paint, Ceiling Paint",Maharajgunj,4.3,Mon–Fri,9801000026
27,Techmandu,Electrician,"Fuse Repair, Socket Repair",Koteshwor,4.1,Wed–Sun,9801000027
28,Darchula Deals,Carpenter,"Furniture Repair, Door Installation",Baneshwor,4.4,Tue–Sat,9801000028
29,Kathmandu Kings,Carpenter,"Window Fix, Furniture Repair",Patan,4.9,Sat–Wed,9801000029
30,Pokhara Partners,Painter,"Wall Painting, Outdoor Paint",Kirtipur,4.9,Wed–Sun,9801000030
31,Chitwan Crew,AC Mechanic,"Gas Refill, Compressor Fix",Bhaktapur,4.4,Tue–Sat,9801000031
32,Lumbini League,Plumber,"Tap Fix, Toilet Repair",Baneshwor,3.8,Tue–Sat,9801000032
33,Patan Pioneers,AC Mechanic,"Gas Refill, Compressor Fix",Maharajgunj,3.5,Wed–Sun,9801000033
34,Sulka Sewa,Carpenter,"Wood Polishing, Window Fix",New Road,3.9,Sat–Wed,9801000034
35,Gongabu Gurus,Plumber,"Sink Fix, Tap Fix",Maharajgunj,4.9,Sat–Wed,9801000035
36,Swoyambhu Supports,Painter,"Ceiling Paint, Wall Painting",Thamel,4.3,Mon–Fri,9801000036
37,Baneshwor Boost,Painter,"Texture Coating, Ceiling Paint",Kirtipur,4.5,Mon–Fri,9801000037
38,Lazimpat Legends,Painter,"Outdoor Paint, Wall Painting",Thamel,4.4,Tue–Sat,9801000038
39,Changunarayan,AC Mechanic,"AC Installation, Compressor Fix",New Road,3.7,Sat–Wed,9801000039
40,GharFix Solutions,Carpenter,"Door Installation, Window Fix",Maharajgunj,3.6,Tue–Sat,9801000040
41,Smart Home Repairs,AC Mechanic,"Compressor Fix, AC Installation",Baneshwor,3.6,Sat–Wed,9801000041
42,QuickFix Hub,Carpenter,"Furniture Repair, Door Installation",Patan,4,Sat–Wed,9801000042
43,FixerUp Nepal,Plumber,"Pipe Installation, Sink Fix",Baneshwor,3.9,Tue–Sat,9801000043
44,Urban Handyman,Painter,"Wall Painting, Outdoor Paint",Koteshwor,5,Thu–Mon,9801000044
45,Nivaas Repair Works,AC Mechanic,"AC Installation, Cooling Issue Fix",Maharajgunj,4.5,Mon–Fri,9801000045
46,HomeMate Services,AC Mechanic,"AC Installation, Cooling Issue Fix",Baneshwor,5,Wed–Sun,9801000046
47,EasyFix Team,Electrician,"Wiring, Fuse Repair",New Road,3.5,Thu–Mon,9801000047
48,DailyRepair Nepal,AC Mechanic,"AC Installation, Cooling Issue Fix",Baneshwor,4.5,Mon–Fri,9801000048
49,SewaGhar Solutions,Electrician,"Wiring, Light Installation",Koteshwor,3.8,Mon–Fri,9801000049
